# tau rho ord score
20.200 47.000 0.900 105.15945702054806
20.200 47.000 0.920 126.79362613044663
20.200 47.000 0.940 149.06459626371725
20.200 47.000 0.960 171.33556639698782
20.200 47.000 0.980 193.60653653025844
20.200 47.000 1.000 215.87750666352898
20.200 48.000 0.800 62.51128287218517
20.200 48.000 0.820 59.229681285569356
20.200 48.000 0.840 60.918572293875116
20.200 48.000 0.860 69.71081035664987
20.200 48.000 0.880 85.26670393080725
20.200 48.000 0.900 105.38497616365724
20.200 48.000 0.920 126.77515933629466
20.200 48.000 0.940 149.04572801751846
20.200 48.000 0.960 171.31629669874235
20.200 48.000 0.980 193.58686537996613
20.200 48.000 1.000 215.85743406118993
20.200 49.000 0.800 62.308382176264104
20.200 49.000 0.820 59.97364115694725
20.200 49.000 0.840 61.2914348940256
20.200 49.000 0.860 69.62083539618904
20.200 49.000 0.880 85.26134939079431
20.200 49.000 0.900 105.61635733149423
20.200 49.000 0.920 126.75949595478195
20.200 49.000 0.940 149.02972412771206
20.200 49.000 0.960 171.29995230064205
20.200 49.000 0.980 193.57018047357212
20.200 49.000 1.000 215.8404086465021
20.200 50.000 0.800 62.302803125778
20.200 50.000 0.820 60.755211559005964
20.200 50.000 0.840 61.823393922558466
20.200 50.000 0.860 69.68425053355264
20.200 50.000 0.880 85.49322388338982
20.200 50.000 0.900 105.85350169892142
20.200 50.000 0.920 126.74664665454624
20.200 50.000 0.940 149.01659549486246
20.200 50.000 0.960 171.2865443351787
20.200 50.000 0.980 193.55649317549498
20.200 50.000 1.000 215.82644201581115
20.200 51.000 0.800 62.6512873243034
20.200 51.000 0.820 61.57417001215871
20.200 51.000 0.840 62.40805734066113
20.200 51.000 0.860 69.81113436917315
20.200 51.000 0.880 85.73063583175974
20.200 51.000 0.900 106.09630937339064
20.200 51.000 0.920 126.73662074768629
20.200 51.000 0.940 149.00635163350563
20.200 51.000 0.960 171.2760825193248
20.200 51.000 0.980 193.54581340514412
20.200 51.000 1.000 215.81554429096337
20.200 52.000 0.800 63.47776679493381
20.200 52.000 0.820 62.43028263755279
20.200 52.000 0.840 63.45405219697734
20.200 52.000 0.860 69.97184243529797
20.200 52.000 0.880 85.97348658219907
20.200 52.000 0.900 106.34467945906727
20.200 52.000 0.920 126.72942618034966
20.200 52.000 0.940 148.9990006625312
20.200 52.000 0.960 171.2685751447127
20.200 52.000 0.980 193.5381496268942
20.200 52.000 1.000 215.80772410907576
20.200 53.000 0.800 64.3898374335632
20.200 53.000 0.820 63.323304209334715
20.200 53.000 0.840 64.58209900391631
20.200 53.000 0.860 70.6499532688467
20.200 53.000 0.880 86.22167656214931
20.200 53.000 0.900 106.59851012038001
20.200 53.000 0.920 126.97534367861066
20.200 53.000 0.940 148.99454929661965
20.200 53.000 0.960 171.26402906888825
20.200 53.000 0.980 193.5335088411567
20.200 53.000 1.000 215.80298861342519
20.200 54.000 0.800 65.34772443322332
20.200 54.000 0.820 64.25297821040589
20.200 54.000 0.840 65.91969797178402
20.200 54.000 0.860 71.68456029950205
20.200 54.000 0.880 86.47510534171704
20.200 54.000 0.900 106.85769864493786
20.200 54.000 0.920 127.24029194815874
20.200 54.000 0.940 148.9930028387445
20.200 54.000 0.960 171.26244970765399
20.200 54.000 0.980 193.5318965765635
20.200 54.000 1.000 215.80134344547292
20.200 55.000 0.800 66.47486015610139
20.200 55.000 0.820 65.21903689167785
20.200 55.000 0.840 67.37350460423681
20.200 55.000 0.860 73.23423637796544
20.200 55.000 0.880 86.73367169451711
20.200 55.000 0.900 107.12214150575625
20.200 55.000 0.920 127.51061131699524
20.200 55.000 0.940 148.9943651737479
20.200 55.000 0.960 171.26384102850855
20.200 55.000 0.980 193.53331688326912
20.200 55.000 1.000 215.80279273802972
20.400 35.000 0.800 72.48365108848148
20.400 35.000 0.820 73.09600355614586
20.400 35.000 0.840 75.09841827702746
20.400 35.000 0.860 79.32115319986181
20.400 35.000 0.880 88.19158261917512
20.400 35.000 0.900 104.64814909786408
20.400 35.000 0.920 124.96092967981613
20.400 35.000 0.940 145.4320585858992
20.400 35.000 0.960 167.25235320197913
20.400 35.000 0.980 189.43825639368708
20.400 35.000 1.000 211.62415958539498
20.400 36.000 0.800 70.56283108268492
20.400 36.000 0.820 71.15125590644777
20.400 36.000 0.840 73.1062377578245
20.400 36.000 0.860 77.48018369409945
20.400 36.000 0.880 86.92750933004916
20.400 36.000 0.900 104.0275009183248
20.400 36.000 0.920 124.4883564942876
20.400 36.000 0.940 145.01398199310023
20.400 36.000 0.960 167.19876884401725
20.400 36.000 0.980 189.38355569493433
20.400 36.000 1.000 211.56834254585135
20.400 37.000 0.800 68.6783200583886
20.400 37.000 0.820 69.24397730238046
20.400 37.000 0.840 71.15244016341414
20.400 37.000 0.860 75.66079735147204
20.400 37.000 0.880 86.02515907776205
20.400 37.000 0.900 103.56934224155077
20.400 37.000 0.920 124.02001651358525
20.400 37.000 0.940 144.96417021823228
