# tau rho ord score
3.000 144.000 0.850 313.5963119727229
3.000 148.000 0.850 314.806820350413
3.000 152.000 0.850 315.97831514268523
3.000 156.000 0.850 317.10527908925695
3.000 160.000 0.850 318.1825870755867
3.000 164.000 0.850 319.2047928778813
3.000 168.000 0.850 320.1672736255246
3.000 172.000 0.850 321.06548865723227
3.000 176.000 0.850 321.89519209562985
3.000 180.000 0.850 322.6526314153996
3.000 184.000 0.850 323.3338289725327
3.000 188.000 0.850 323.93572105877445
3.000 192.000 0.850 324.4554111499229
3.000 196.000 0.850 324.8903766612991
3.000 200.000 0.850 325.2386614712535
3.000 204.000 0.850 325.4981511639339
3.000 208.000 0.850 325.667705538051
3.000 212.000 0.850 325.7464050329195
3.000 216.000 0.850 325.73375036872926
3.000 220.000 0.850 325.6298476475988
3.000 224.000 0.850 325.43467585541595
3.000 228.000 0.850 325.1492113040381
3.000 232.000 0.850 324.7746656629303
3.000 236.000 0.850 324.31267688079106
3.000 240.000 0.850 323.7653048404354
3.000 244.000 0.850 323.1350250372623
3.000 248.000 0.850 322.42472023981804
3.000 252.000 0.850 321.69707122869545
3.000 256.000 0.850 321.0658169007198
3.000 260.000 0.850 320.3726155604156
3.000 264.000 0.850 319.62034824436853
3.000 268.000 0.850 318.8127675629501
3.000 272.000 0.850 317.95372099447013
3.000 276.000 0.850 317.04732717139177
3.000 280.000 0.850 316.09783356174825
3.000 284.000 0.850 315.1100772476238
3.000 288.000 0.850 314.08876130742607
3.000 292.000 0.850 313.03888523954316
3.000 296.000 0.850 311.9656102145968
3.000 300.000 0.850 310.8741094811321
3.000 304.000 0.850 309.77002243889126
3.000 308.000 0.850 308.6587249617922
3.000 312.000 0.850 307.5457544795776
3.000 316.000 0.850 306.4366706715547
3.000 320.000 0.850 305.336902157185
3.000 324.000 0.850 304.2521977502955
3.000 328.000 0.850 303.1878949034209
3.000 332.000 0.850 302.1493438865789
3.000 336.000 0.850 301.14176857951935
3.000 340.000 0.850 300.17023782390896
3.000 344.000 0.850 299.23963761125515
3.000 348.000 0.850 298.35464430274817
3.000 352.000 0.850 297.5196990694252
3.000 356.000 0.850 296.73898373124746
3.000 360.000 0.850 296.0163981619287
4.000 0.000 0.850 289.4794867956099
4.000 4.000 0.850 288.5978778973234
4.000 8.000 0.850 287.80349136290215
4.000 12.000 0.850 287.1002566993603
4.000 16.000 0.850 286.49161873724023
4.000 20.000 0.850 285.9806860731817
4.000 24.000 0.850 285.56957226505494
4.000 28.000 0.850 285.26032540223866
4.000 32.000 0.850 285.0543127147346
4.000 36.000 0.850 284.9523638758892
4.000 40.000 0.850 284.95477034638213
4.000 44.000 0.850 285.06128794829823
4.000 48.000 0.850 285.2711425790024
4.000 52.000 0.850 285.5830389489282
4.000 56.000 0.850 285.99517220404175
4.000 60.000 0.850 286.50540786485846
4.000 64.000 0.850 287.1106538224077
4.000 68.000 0.850 287.8078197613361
4.000 72.000 0.850 288.59323044097243
4.000 76.000 0.850 289.4627962786172
4.000 80.000 0.850 290.4122800556528
4.000 84.000 0.850 291.43633839951616
4.000 88.000 0.850 292.5300536506066
4.000 92.000 0.850 293.6879432648567
4.000 96.000 0.850 294.9042483470658
4.000 100.000 0.850 296.17320566132855
4.000 104.000 0.850 297.4880933708693
4.000 108.000 0.850 298.8427661574417
4.000 112.000 0.850 300.2306669225755
4.000 116.000 0.850 301.69845882725116
4.000 120.000 0.850 303.44824200276685
4.000 124.000 0.850 305.20175453134027
4.000 128.000 0.850 306.95093686529435
4.000 132.000 0.850 308.68752514313707
4.000 136.000 0.850 310.40334525496155
4.000 140.000 0.850 312.09034709632107
4.000 144.000 0.850 313.7406377736669
4.000 148.000 0.850 315.34651371660505
4.000 152.000 0.850 316.9004916639241
4.000 156.000 0.850 318.3953384997975
4.000 160.000 0.850 319.82434158234446
4.000 164.000 0.850 321.1803511759819
4.000 168.000 0.850 322.45731080823924
4.000 172.000 0.850 323.64926290978457
4.000 176.000 0.850 324.7506315323089
4.000 180.000 0.850 325.75648667715876
4.000 184.000 0.850 326.66158065661926
4.000 188.000 0.850 327.4618722872236
1.000 48.000 0.850 305.9751293401659
1.000 52.000 0.850 306.04966132296977
1.000 56.000 0.850 306.14924018112384
1.000 60.000 0.850 306.27340319811736
1.000 64.000 0.850 306.4214501554355
1.000 68.000 0.850 306.59267797468624
1.000 72.000 0.850 306.78623502552415
1.000 76.000 0.850 307.0011618696523
1.000 80.000 0.850 307.2364557660652
1.000 84.000 0.850 307.49083346505716
1.000 88.000 0.850 307.7631078167358
1.000 92.000 0.850 308.05194271683746
1.000 96.000 0.850 308.3559236540226
1.000 100.000 0.850 308.6736242550868
1.000 104.000 0.850 309.0033709439599
1.000 108.000 0.850 309.34362123501734
1.000 112.000 0.850 309.69272017951306
1.000 116.000 0.850 310.0489722264843
1.000 120.000 0.850 310.41070889283276
1.000 124.000 0.850 310.77605435772807
1.000 128.000 0.850 311.1433045020513
1.000 132.000 0.850 311.51068391270763
1.000 136.000 0.850 311.87641811490784
1.000 140.000 0.850 312.23874191913956
1.000 144.000 0.850 312.59590769817794
1.000 148.000 0.850 312.94619356009395
1.000 152.000 0.850 313.28791138407615
1.000 156.000 0.850 313.61941468678503
1.000 160.000 0.850 313.93916579825293
1.000 164.000 0.850 314.24550061962157
1.000 168.000 0.850 314.5370064913994
1.000 172.000 0.850 314.8122777004856
1.000 176.000 0.850 315.06998589786656
1.000 180.000 0.850 315.3089458331764
1.000 184.000 0.850 315.52787853354744
1.000 188.000 0.850 315.7257874604359
1.000 192.000 0.850 315.9017121778009
1.000 196.000 0.850 316.05479680883604
1.000 200.000 0.850 316.18435369294076
1.000 204.000 0.850 316.28962437611796
1.000 208.000 0.850 316.37015347455707
1.000 212.000 0.850 316.4255399512323
1.000 216.000 0.850 316.4555030896001
1.000 220.000 0.850 316.45994358346763
1.000 224.000 0.850 316.43870188415104
1.000 228.000 0.850 316.3919293532194
1.000 232.000 0.850 316.3198367698336
1.000 236.000 0.850 316.2227574866223
1.000 240.000 0.850 316.10114615335516
1.000 244.000 0.850 315.9555768580865
1.000 248.000 0.850 315.7867406878938
1.000 252.000 0.850 315.59544271413847
1.000 256.000 0.850 315.3825984100785
1.000 260.000 0.850 315.1492890220509
1.000 264.000 0.850 314.8965142108581
1.000 268.000 0.850 314.62555753856594
1.000 272.000 0.850 314.3377293776881
1.000 276.000 0.850 314.0344245655723
1.000 280.000 0.850 313.71707505291965
1.000 284.000 0.850 313.38730138366236
1.000 288.000 0.850 313.0466739746371
1.000 292.000 0.850 312.6968549322865
1.000 296.000 0.850 312.33955364817064
1.000 300.000 0.850 311.9764776707792
1.000 304.000 0.850 311.60948259867564
1.000 308.000 0.850 311.2403319758969
1.000 312.000 0.850 310.8708379382322
1.000 316.000 0.850 310.5028158623411
1.000 320.000 0.850 310.13803452399736
1.000 324.000 0.850 309.77836551781417
1.000 328.000 0.850 309.4255429250804
1.000 332.000 0.850 309.0813039823607
1.000 336.000 0.850 308.7473440050633
1.000 340.000 0.850 308.42530777263676
1.000 344.000 0.850 308.11678116891215
1.000 348.000 0.850 307.8232831250591
1.000 352.000 0.850 307.5462579108549
1.000 356.000 0.850 307.28706781783166
1.000 360.000 0.850 307.04698627541194
2.000 0.000 0.850 301.8748106100563
2.000 4.000 0.850 301.4346307737773
2.000 8.000 0.850 301.0374902040283
2.000 12.000 0.850 300.6853385493803
2.000 16.000 0.850 300.3798961197462
2.000 20.000 0.850 300.1227273124175
2.000 24.000 0.850 299.9149144738253
2.000 28.000 0.850 299.7575173944395
2.000 32.000 0.850 299.65126799405147
2.000 36.000 0.850 299.5966403471484
2.000 40.000 0.850 299.593849220866
2.000 44.000 0.850 299.64285002841393
2.000 48.000 0.850 299.7433401787471
2.000 52.000 0.850 299.89476179386406
2.000 56.000 0.850 300.09630575629984
2.000 60.000 0.850 300.3469989400123
2.000 64.000 0.850 300.64539175037737
2.000 68.000 0.850 300.9900310784553
2.000 72.000 0.850 301.3791681393128
2.000 76.000 0.850 301.81084126231224
2.000 80.000 0.850 302.28300640302155
2.000 84.000 0.850 302.7930609211131
2.000 88.000 0.850 303.3386013466087
2.000 92.000 0.850 303.9169313404623
0.000 0.000 0.850 311.52698274184246
0.000 4.000 0.850 311.52698274184246
0.000 8.000 0.850 311.52698274184246
0.000 12.000 0.850 311.52698274184246
0.000 16.000 0.850 311.52698274184246
0.000 20.000 0.850 311.52698274184246
0.000 24.000 0.850 311.52698274184246
0.000 28.000 0.850 311.52698274184246
0.000 32.000 0.850 311.52698274184246
0.000 36.000 0.850 311.52698274184246
0.000 40.000 0.850 311.52698274184246
0.000 44.000 0.850 311.52698274184246
0.000 48.000 0.850 311.52698274184246
0.000 52.000 0.850 311.52698274184246
0.000 56.000 0.850 311.52698274184246
0.000 60.000 0.850 311.52698274184246
0.000 64.000 0.850 311.52698274184246
0.000 68.000 0.850 311.52698274184246
0.000 72.000 0.850 311.52698274184246
0.000 76.000 0.850 311.52698274184246
0.000 80.000 0.850 311.52698274184246
0.000 84.000 0.850 311.52698274184246
0.000 88.000 0.850 311.52698274184246
0.000 92.000 0.850 311.52698274184246
0.000 96.000 0.850 311.52698274184246
0.000 100.000 0.850 311.52698274184246
0.000 104.000 0.850 311.52698274184246
0.000 108.000 0.850 311.52698274184246
0.000 112.000 0.850 311.52698274184246
0.000 116.000 0.850 311.52698274184246
0.000 120.000 0.850 311.52698274184246
0.000 124.000 0.850 311.52698274184246
0.000 128.000 0.850 311.52698274184246
0.000 132.000 0.850 311.52698274184246
0.000 136.000 0.850 311.52698274184246
0.000 140.000 0.850 311.52698274184246
0.000 144.000 0.850 311.52698274184246
0.000 148.000 0.850 311.52698274184246
0.000 152.000 0.850 311.52698274184246
0.000 156.000 0.850 311.52698274184246
0.000 160.000 0.850 311.52698274184246
0.000 164.000 0.850 311.52698274184246
0.000 168.000 0.850 311.52698274184246
0.000 172.000 0.850 311.52698274184246
0.000 176.000 0.850 311.52698274184246
0.000 180.000 0.850 311.52698274184246
0.000 184.000 0.850 311.52698274184246
0.000 188.000 0.850 311.52698274184246
0.000 192.000 0.850 311.52698274184246
0.000 196.000 0.850 311.52698274184246
0.000 200.000 0.850 311.52698274184246
0.000 204.000 0.850 311.52698274184246
0.000 208.000 0.850 311.52698274184246
0.000 212.000 0.850 311.52698274184246
0.000 216.000 0.850 311.52698274184246
0.000 220.000 0.850 311.52698274184246
0.000 224.000 0.850 311.52698274184246
0.000 228.000 0.850 311.52698274184246
0.000 232.000 0.850 311.52698274184246
0.000 236.000 0.850 311.52698274184246
0.000 240.000 0.850 311.52698274184246
0.000 244.000 0.850 311.52698274184246
0.000 248.000 0.850 311.52698274184246
0.000 252.000 0.850 311.52698274184246
0.000 256.000 0.850 311.52698274184246
0.000 260.000 0.850 311.52698274184246
0.000 264.000 0.850 311.52698274184246
0.000 268.000 0.850 311.52698274184246
0.000 272.000 0.850 311.52698274184246
0.000 276.000 0.850 311.52698274184246
0.000 280.000 0.850 311.52698274184246
0.000 284.000 0.850 311.52698274184246
0.000 288.000 0.850 311.52698274184246
0.000 292.000 0.850 311.52698274184246
0.000 296.000 0.850 311.52698274184246
0.000 300.000 0.850 311.52698274184246
0.000 304.000 0.850 311.52698274184246
0.000 308.000 0.850 311.52698274184246
0.000 312.000 0.850 311.52698274184246
0.000 316.000 0.850 311.52698274184246
0.000 320.000 0.850 311.52698274184246
0.000 324.000 0.850 311.52698274184246
0.000 328.000 0.850 311.52698274184246
0.000 332.000 0.850 311.52698274184246
0.000 336.000 0.850 311.52698274184246
0.000 340.000 0.850 311.52698274184246
0.000 344.000 0.850 311.52698274184246
0.000 348.000 0.850 311.52698274184246
0.000 352.000 0.850 311.52698274184246
0.000 356.000 0.850 311.52698274184246
0.000 360.000 0.850 311.52698274184246
1.000 0.000 0.850 307.04704578578406
1.000 4.000 0.850 306.82724631369956
1.000 8.000 0.850 306.6288102485627
1.000 12.000 0.850 306.4527080407932
1.000 16.000 0.850 306.29979879424224
1.000 20.000 0.850 306.1708667578378
1.000 24.000 0.850 306.0664591726562
1.000 28.000 0.850 305.9871145555654
1.000 32.000 0.850 305.93321073063896
1.000 36.000 0.850 305.9049994136362
1.000 40.000 0.850 305.902605197652
1.000 44.000 0.850 305.9260251961383
7.000 336.000 0.850 279.89894789486897
7.000 340.000 0.850 277.4051896383431
7.000 344.000 0.850 274.97555151466554
7.000 348.000 0.850 272.6868422814811
7.000 352.000 0.850 271.141512395013
7.000 356.000 0.850 269.6814659756008
7.000 360.000 0.850 268.2956043762457
8.000 0.000 0.850 259.79583982394877
8.000 4.000 0.850 258.3035221295047
8.000 8.000 0.850 256.9123292907264
8.000 12.000 0.850 255.629701818672
8.000 16.000 0.850 254.46249189247334
8.000 20.000 0.850 253.41725495345406
8.000 24.000 0.850 252.49889822555963
8.000 28.000 0.850 251.71255494114678
8.000 32.000 0.850 251.062319115747
8.000 36.000 0.850 250.57141663284008
8.000 40.000 0.850 250.27873413921793
8.000 44.000 0.850 250.09021533179737
8.000 48.000 0.850 250.06019842238894
8.000 52.000 0.850 250.450971243693
8.000 56.000 0.850 250.97026281771045
8.000 60.000 0.850 251.72620233691944
8.000 64.000 0.850 252.70531732293477
8.000 68.000 0.850 253.8637825707681
8.000 72.000 0.850 255.43664448641195
8.000 76.000 0.850 257.12511814682193
8.000 80.000 0.850 259.0344166218605
8.000 84.000 0.850 261.08830713533126
8.000 88.000 0.850 263.2755931614293
8.000 92.000 0.850 265.58500481442104
8.000 96.000 0.850 268.0470928332967
8.000 100.000 0.850 271.2328171143294
8.000 104.000 0.850 274.50085687949536
8.000 108.000 0.850 277.8358444322511
8.000 112.000 0.850 281.22175023924694
8.000 116.000 0.850 284.6424805806198
8.000 120.000 0.850 288.0824383253317
8.000 124.000 0.850 291.5245929863856
8.000 128.000 0.850 294.95359184874053
8.000 132.000 0.850 298.44080244138866
8.000 136.000 0.850 301.956975756928
8.000 140.000 0.850 305.3699246932885
8.000 144.000 0.850 308.6643851827758
8.000 148.000 0.850 311.8256872871341
8.000 152.000 0.850 314.83979981019456
8.000 156.000 0.850 317.69337199279556
8.000 160.000 0.850 320.47452365412676
8.000 164.000 0.850 323.0484413298651
8.000 168.000 0.850 325.4598957492081
8.000 172.000 0.850 327.8006683445528
8.000 176.000 0.850 329.93293460735936
8.000 180.000 0.850 331.8471462882771
8.000 184.000 0.850 333.63047798198016
8.000 188.000 0.850 335.6287510054948
8.000 192.000 0.850 337.4759551598282
8.000 196.000 0.850 339.09857998313214
8.000 200.000 0.850 340.4895508891425
8.000 204.000 0.850 341.6412318686312
8.000 208.000 0.850 342.5485022873746
8.000 212.000 0.850 343.4227525945238
8.000 216.000 0.850 344.3588771208696
8.000 220.000 0.850 345.0114437633654
8.000 224.000 0.850 345.3756965841512
8.000 228.000 0.850 345.44967563075613
8.000 232.000 0.850 345.448210393091
8.000 236.000 0.850 345.4699079252197
8.000 240.000 0.850 345.1728250301267
8.000 244.000 0.850 344.55745780978714
8.000 248.000 0.850 343.6258008552395
8.000 252.000 0.850 342.3813570572114
8.000 256.000 0.850 340.8291407028262
8.000 260.000 0.850 338.9977959711372
8.000 264.000 0.850 337.083086109903
8.000 268.000 0.850 334.85590634091807
8.000 272.000 0.850 332.3261354193578
8.000 276.000 0.850 329.5051471581294
8.000 280.000 0.850 326.4054367954049
8.000 284.000 0.850 323.5164524056212
8.000 288.000 0.850 320.5688475243104
8.000 292.000 0.850 317.3835747911274
8.000 296.000 0.850 313.9754902570394
8.000 300.000 0.850 310.36028950530397
8.000 304.000 0.850 306.5557514812608
8.000 308.000 0.850 302.5797541007878
8.000 312.000 0.850 298.4514273235941
8.000 316.000 0.850 294.19076587217296
8.000 320.000 0.850 289.81819738442954
8.000 324.000 0.850 285.4791983295901
8.000 328.000 0.850 281.70618894325247
8.000 332.000 0.850 278.3664203670653
8.000 336.000 0.850 275.02180498210646
8.000 340.000 0.850 271.689506279719
8.000 344.000 0.850 268.3867067144197
8.000 348.000 0.850 265.5942060142876
8.000 352.000 0.850 263.31308958775685
8.000 356.000 0.850 261.38077888839507
8.000 360.000 0.850 259.7953496380957
9.000 0.000 0.850 250.51231616803565
9.000 4.000 0.850 248.8323575891337
9.000 8.000 0.850 247.26622394379373
9.000 12.000 0.850 245.82238266508017
