# tau rho ord score
0.000 0.000 0.900 358.8676427787164
0.000 4.000 0.900 358.8676427787164
0.000 8.000 0.900 358.8676427787164
0.000 12.000 0.900 358.8676427787164
0.000 16.000 0.900 358.8676427787164
0.000 20.000 0.900 358.8676427787164
0.000 24.000 0.900 358.8676427787164
0.000 28.000 0.900 358.8676427787164
0.000 32.000 0.900 358.8676427787164
0.000 36.000 0.900 358.8676427787164
0.000 40.000 0.900 358.8676427787164
0.000 44.000 0.900 358.8676427787164
0.000 48.000 0.900 358.8676427787164
0.000 52.000 0.900 358.8676427787164
0.000 56.000 0.900 358.8676427787164
0.000 60.000 0.900 358.8676427787164
0.000 64.000 0.900 358.8676427787164
0.000 68.000 0.900 358.8676427787164
0.000 72.000 0.900 358.8676427787164
0.000 76.000 0.900 358.8676427787164
0.000 80.000 0.900 358.8676427787164
0.000 84.000 0.900 358.8676427787164
0.000 88.000 0.900 358.8676427787164
0.000 92.000 0.900 358.8676427787164
0.000 96.000 0.900 358.8676427787164
0.000 100.000 0.900 358.8676427787164
0.000 104.000 0.900 358.8676427787164
0.000 108.000 0.900 358.8676427787164
0.000 112.000 0.900 358.8676427787164
0.000 116.000 0.900 358.8676427787164
0.000 120.000 0.900 358.8676427787164
0.000 124.000 0.900 358.8676427787164
0.000 128.000 0.900 358.8676427787164
0.000 132.000 0.900 358.8676427787164
0.000 136.000 0.900 358.8676427787164
0.000 140.000 0.900 358.8676427787164
0.000 144.000 0.900 358.8676427787164
0.000 148.000 0.900 358.8676427787164
0.000 152.000 0.900 358.8676427787164
0.000 156.000 0.900 358.8676427787164
0.000 160.000 0.900 358.8676427787164
0.000 164.000 0.900 358.8676427787164
0.000 168.000 0.900 358.8676427787164
0.000 172.000 0.900 358.8676427787164
0.000 176.000 0.900 358.8676427787164
0.000 180.000 0.900 358.8676427787164
0.000 184.000 0.900 358.8676427787164
0.000 188.000 0.900 358.8676427787164
0.000 192.000 0.900 358.8676427787164
0.000 196.000 0.900 358.8676427787164
0.000 200.000 0.900 358.8676427787164
0.000 204.000 0.900 358.8676427787164
0.000 208.000 0.900 358.8676427787164
0.000 212.000 0.900 358.8676427787164
0.000 216.000 0.900 358.8676427787164
0.000 220.000 0.900 358.8676427787164
0.000 224.000 0.900 358.8676427787164
0.000 228.000 0.900 358.8676427787164
0.000 232.000 0.900 358.8676427787164
0.000 236.000 0.900 358.8676427787164
0.000 240.000 0.900 358.8676427787164
0.000 244.000 0.900 358.8676427787164
0.000 248.000 0.900 358.8676427787164
0.000 252.000 0.900 358.8676427787164
0.000 256.000 0.900 358.8676427787164
0.000 260.000 0.900 358.8676427787164
0.000 264.000 0.900 358.8676427787164
0.000 268.000 0.900 358.8676427787164
0.000 272.000 0.900 358.8676427787164
0.000 276.000 0.900 358.8676427787164
0.000 280.000 0.900 358.8676427787164
0.000 284.000 0.900 358.8676427787164
0.000 288.000 0.900 358.8676427787164
0.000 292.000 0.900 358.8676427787164
0.000 296.000 0.900 358.8676427787164
0.000 300.000 0.900 358.8676427787164
0.000 304.000 0.900 358.8676427787164
0.000 308.000 0.900 358.8676427787164
0.000 312.000 0.900 358.8676427787164
0.000 316.000 0.900 358.8676427787164
0.000 320.000 0.900 358.8676427787164
0.000 324.000 0.900 358.8676427787164
0.000 328.000 0.900 358.8676427787164
0.000 332.000 0.900 358.8676427787164
0.000 336.000 0.900 358.8676427787164
0.000 340.000 0.900 358.8676427787164
0.000 344.000 0.900 358.8676427787164
0.000 348.000 0.900 358.8676427787164
0.000 352.000 0.900 358.8676427787164
0.000 356.000 0.900 358.8676427787164
0.000 360.000 0.900 358.8676427787164
1.000 0.000 0.900 356.463032669103
1.000 4.000 0.900 356.31958697816594
1.000 8.000 0.900 356.1857730835896
1.000 12.000 0.900 356.0622499549918
1.000 16.000 0.900 355.9496264035922
1.000 20.000 0.900 355.84850107330294
1.000 24.000 0.900 355.7592917159608
1.000 28.000 0.900 355.6824774821358
1.000 32.000 0.900 355.6184382053267
1.000 36.000 0.900 355.56749083027864
1.000 40.000 0.900 355.5298877723314
1.000 44.000 0.900 355.50581560571555
1.000 48.000 0.900 355.4953940887877
1.000 52.000 0.900 355.49867553223015
1.000 56.000 0.900 355.51564451423775
1.000 60.000 0.900 355.54626103872374
1.000 64.000 0.900 355.5902930639058
1.000 68.000 0.900 355.6475621140948
1.000 72.000 0.900 355.7177859332916
1.000 76.000 0.900 355.80061831169087
1.000 80.000 0.900 355.89571386306426
1.000 84.000 0.900 356.00247315731775
